NIFTYEES.NS,Index ETF
INIFTY.NS,Index ETF
KOTAKNIFTY.NS,Index ETF
M50.NS,Index ETF
QNIFTY.NS,Index ETF
RELGRNIFTY.NS,Index ETF
SETFNIFTY.NS,Index ETF
UTINIFTETF.NS,Index ETF
BSLNIFTY.NS,Index ETF
ICNX100.NS,Index ETF
KOTAKBKETF.NS,Index ETF
SETFBANK.NS,Index ETF
M100.NS,Index ETF
SETFNIFJR.NS,Index ETF
KOTAKPSUBK.NS,Index ETF
ISENSEX.NS,Index ETF
UTISENSETF.NS,Index ETF
NIFTYBEES.NS,Index ETF
RELCNX100.NS,Index ETF
BANKBEES.NS,Index ETF
CPSEETF.NS,Index ETF
RELDIVOPP.NS,Index ETF
RELCONS.NS,Index ETF
INFRABEES.NS,Index ETF
JUNIORBEES.NS,Index ETF
PSUBNKBEES.NS,Index ETF
BHARATIWIN.NS,Index ETF
AXISGOLD.NS,Gold
BSLGOLDETF.NS,Gold
CANGOLD.NS,Gold
HDFCMFGETF.NS,Gold
IPGETF.NS,Gold
IDBIGOLD.NS,Gold
KOTAKGOLD.NS,Gold
QGOLDHALF.NS,Gold
RELGOLD.NS,Gold
RELIGAREGO.NS,Gold
SBIGETS.NS,Gold
GOLDSHARE.NS,Gold
SHARIABEES.NS,World ETF
RELNV20.NS,World ETF
HNGSNGBEES.NS,World ETF
LIQUIDBEES.NS,Debt ETF
RRSLGETF.NS,Debt ETF
GOLDBEES.NS,Debt ETF
N100.NS,Debt ETF
LICNMFET.NS,Debt ETF
ADANIPORTS.NS,N50
APOLLOHOSP.NS,N50
ASIANPAINT.NS,N50
AXISBANK.NS,N50
BAJAJ-AUTO.NS,N50
BAJFINANCE.NS,N50
BAJAJFINSV.NS,N50
BPCL.NS,N50
BHARTIARTL.NS,N50
BRITANNIA.NS,N50
CIPLA.NS,N50
COALINDIA.NS,N50
DIVISLAB.NS,N50
DRREDDY.NS,N50
EICHERMOT.NS,N50
GRASIM.NS,N50
HCLTECH.NS,N50
HDFCBANK.NS,N50
HDFCLIFE.NS,N50
HEROMOTOCO.NS,N50
HINDALCO.NS,N50
HINDUNILVR.NS,N50
HDFC.NS,N50
ICICIBANK.NS,N50
ITC.NS,N50
INDUSINDBK.NS,N50
INFY.NS,N50
JSWSTEEL.NS,N50
KOTAKBANK.NS,N50
LT.NS,N50
M&M.NS,N50
MARUTI.NS,N50
NTPC.NS,N50
NESTLEIND.NS,N50
ONGC.NS,N50
POWERGRID.NS,N50
RELIANCE.NS,N50
SBILIFE.NS,N50
SHREECEM.NS,N50
SBIN.NS,N50
SUNPHARMA.NS,N50
TCS.NS,N50
TATACONSUM.NS,N50
TATAMOTORS.NS,N50
TATASTEEL.NS,N50
TECHM.NS,N50
TITAN.NS,N50
UPL.NS,N50
ULTRACEMCO.NS,N50
WIPRO.NS,N50
ACC.NS,Next50
ADANIENT.NS,Next50
ADANIGREEN.NS,Next50
ADANITRANS.NS,Next50
AMBUJACEM.NS,Next50
DMART.NS,Next50
BAJAJHLDNG.NS,Next50
BANDHANBNK.NS,Next50
BANKBARODA.NS,Next50
BERGEPAINT.NS,Next50
BIOCON.NS,Next50
BOSCHLTD.NS,Next50
CHOLAFIN.NS,Next50
COLPAL.NS,Next50
DLF.NS,Next50
DABUR.NS,Next50
NYKAA.NS,Next50
GAIL.NS,Next50
GLAND.NS,Next50
GODREJCP.NS,Next50
HDFCAMC.NS,Next50
HAVELLS.NS,Next50
ICICIGI.NS,Next50
ICICIPRULI.NS,Next50
IOC.NS,Next50
INDUSTOWER.NS,Next50
NAUKRI.NS,Next50
INDIGO.NS,Next50
JUBLFOOD.NS,Next50
LTI.NS,Next50
LUPIN.NS,Next50
MARICO.NS,Next50
MINDTREE.NS,Next50
MUTHOOTFIN.NS,Next50
NMDC.NS,Next50
PAYTM.NS,Next50
PIIND.NS,Next50
PIDILITIND.NS,Next50
PEL.NS,Next50
PGHH.NS,Next50
PNB.NS,Next50
SBICARD.NS,Next50
SRF.NS,Next50
SIEMENS.NS,Next50
SAIL.NS,Next50
TORNTPHARM.NS,Next50
MCDOWELL-N.NS,Next50
VEDL.NS,Next50
ZOMATO.NS,Next50
ZYDUSLIFE.NS,Next50
ABB.NS,N200
AUBANK.NS,N200
ABBOTINDIA.NS,N200
ATGL.NS,N200
ABCAPITAL.NS,N200
ABFRL.NS,N200
APLLTD.NS,N200
ALKEM.NS,N200
APOLLOTYRE.NS,N200
ASHOKLEY.NS,N200
ASTRAL.NS,N200
AUROPHARMA.NS,N200
BALKRISIND.NS,N200
BANKINDIA.NS,N200
BATAINDIA.NS,N200
BEL.NS,N200
BHARATFORG.NS,N200
BHEL.NS,N200
CANBK.NS,N200
CLEAN.NS,N200
COFORGE.NS,N200
CONCOR.NS,N200
COROMANDEL.NS,N200
CROMPTON.NS,N200
CUMMINSIND.NS,N200
DALBHARAT.NS,N200
DEEPAKNTR.NS,N200
DIXON.NS,N200
LALPATHLAB.NS,N200
EMAMILTD.NS,N200
ESCORTS.NS,N200
EXIDEIND.NS,N200
FEDERALBNK.NS,N200
FORTIS.NS,N200
GLENMARK.NS,N200
GODREJPROP.NS,N200
GUJGASLTD.NS,N200
GSPL.NS,N200
HAL.NS,N200
HINDPETRO.NS,N200
HINDZINC.NS,N200
HONAUT.NS,N200
ISEC.NS,N200
IDBI.NS,N200
IDFCFIRSTB.NS,N200
INDIAMART.NS,N200
INDIANB.NS,N200
IEX.NS,N200
INDHOTEL.NS,N200
IRCTC.NS,N200
IGL.NS,N200
IPCALAB.NS,N200
JSWENERGY.NS,N200
JINDALSTEL.NS,N200
L&TFH.NS,N200
LTTS.NS,N200
LICHSGFIN.NS,N200
LAURUSLABS.NS,N200
MRF.NS,N200
M&MFIN.NS,N200
MANAPPURAM.NS,N200
MFSL.NS,N200
MAXHEALTH.NS,N200
METROPOLIS.NS,N200
MPHASIS.NS,N200
NATIONALUM.NS,N200
NAVINFLUOR.NS,N200
NAM-INDIA.NS,N200
OBEROIRLTY.NS,N200
OIL.NS,N200
OFSS.NS,N200
POLICYBZR.NS,N200
PAGEIND.NS,N200
PERSISTENT.NS,N200
PETRONET.NS,N200
POLYCAB.NS,N200
PFC.NS,N200
PRESTIGE.NS,N200
RECLTD.NS,N200
SRTRANSFIN.NS,N200
SONACOMS.NS,N200
SUNTV.NS,N200
SYNGENE.NS,N200
TVSMOTOR.NS,N200
TATACHEM.NS,N200
TATACOMM.NS,N200
TATAELXSI.NS,N200
TATAPOWER.NS,N200
RAMCOCEM.NS,N200
TORNTPOWER.NS,N200
TRENT.NS,N200
TRIDENT.NS,N200
UNIONBANK.NS,N200
UBL.NS,N200
VBL.NS,N200
IDEA.NS,N200
VOLTAS.NS,N200
WHIRLPOOL.NS,N200
YESBANK.NS,N200
ZEEL.NS,N200
